seed,method,historical_label,round,file_name,bytes,sha256
42,Task-only,a,100,seed42_a_round100_actor_only.pt,89717419,8401CB97A605096672CCB16CE709BE61838B4C9160083BAFE9707BD53DF4F330
42,Team-BG,b,100,seed42_b_round100_actor_only.pt,89717419,920B3065407DD74E627F79BDEC469EFD513335A88829C6FB9F16E5E4D479F3AC
42,DUAL-local,legacy_c,100,seed42_legacy_c_round100_actor_only.pt,89718077,085CEA51646F5AA2C4FE9CD344C00C3D4B4625DA3C27C0C5F533DA055790CAFB
42,DAPS,strict_c,100,seed42_strict_c_round100_actor_only.pt,89718077,AF9DDA94AC564CF6E445D84A6235C692E10FD4F32EBFE411940F18E692739322
43,Task-only,a,100,seed43_a_round100_actor_only.pt,89717419,FA46F4AA19BA967ECD1AC90D1004D99218B899FCEEA2CDF29A3ADE5C6A255E40
43,Team-BG,b,100,seed43_b_round100_actor_only.pt,89717419,064064ABE174B678CA7AD3CCA82F0FF594B347F196FBA00F3AB539E9475A7E1F
43,DUAL-local,legacy_c,100,seed43_legacy_c_round100_actor_only.pt,89718077,D466B1559AC61486ED2DE020155BBCC1D7EA2ADB8887ECCFD56907777FF61600
43,DAPS,strict_c,100,seed43_strict_c_round100_actor_only.pt,89718077,F63E1D444C96BFE4914B670CBAC79568EAB0C03E7B575D1334E2FE19A2FB6623
44,Task-only,a,100,seed44_a_round100_actor_only.pt,89717419,C6CFAF4DB78D4A3C54EBF3992F2F689BF01F48632F04FE718AB39B57108A773B
44,Team-BG,b,100,seed44_b_round100_actor_only.pt,89717419,0D71DBC13732673606C053B1FDB74A521B9B9A700FDEBF7BA1AA23EC3FA926D7
44,DUAL-local,legacy_c,100,seed44_legacy_c_round100_actor_only.pt,89718077,4692EBB44537BA56A371D7950980EE8B511A2D0C0B19D7C801F0C8BB4CE4A96D
44,DAPS,strict_c,100,seed44_strict_c_round100_actor_only.pt,89718077,02DE8948851E0E28C955350FAAF44BA72BB750B5BFAFFD6C05BBEF3298082A0F

